,mobile,processor,display,ram,rom,rear_camera(in MP),price,battery,rating,warranty
0,"realme Narzo 50i (Mint Green, 32 GB)",SC9863A,16.51,2,32,8,7499.00,5000,4.5,1
1,"realme Narzo 50i (Carbon Black, 32 GB)",SC9863A,16.51,2,32,8,7499.00,5000,4.5,1
2,"realme Narzo 50i (Mint Green, 64 GB)",SC9863A,16.51,4,64,8,8999.00,5000,4.3,1
3,"realme Narzo 50i (Carbon Black, 64 GB)",SC9863A,16.51,4,64,8,8999.00,5000,4.3,1
4,"realme 9i (Prism Blue, 64 GB)",SM6225,16.76,4,64,50,13499.00,5000,4.5,1
5,"realme 9i (Prism Black, 128 GB)",SM6225,16.76,6,28,50,15999.00,5000,4.5,1
6,"realme 9i (Prism Black, 128 GB)",SM6225,16.76,4,28,50,14999.00,5000,4.5,1
7,"realme 9i (Prism Black, 64 GB)",SM6225,16.76,4,64,50,13499.00,5000,4.5,1
8,"realme C35 (Glowing Black, 64 GB)",T616,16.76,4,64,50,11999.00,5000,4.4,1
9,"realme C35 (Glowing Green, 64 GB)",T616,16.76,4,64,50,11999.00,5000,4.4,1
10,"realme 9 Pro+ 5G (Aurora Green, 128 GB)",920,16.26,8,28,50,26999.00,4500,4.3,1
11,"realme 9i (Prism Blue, 128 GB)",SM6225,16.76,4,28,50,14999.00,5000,4.5,1
12,"realme 9i (Prism Blue, 128 GB)",SM6225,16.76,6,28,50,15999.00,5000,4.5,1
13,"realme C31 (Light Silver, 32 GB)",T612,16.56,3,32,13,9299.00,5000,4.5,1
14,"realme C31 (Dark Green, 32 GB)",T612,16.56,3,32,13,9299.00,5000,4.5,1
15,"realme C31 (Light Silver, 64 GB)",T612,16.56,4,64,13,9999.00,5000,4.4,1
16,"realme C31 (Dark Green, 64 GB)",T612,16.56,4,64,13,9999.00,5000,4.4,1
17,"realme 9 Pro 5G (Midnight Black, 128 GB)",695,16.76,6,28,64,18999.00,5000,4.3,1
18,"realme 9 Pro 5G (Aurora Green, 128 GB)",695,16.76,6,28,64,18999.00,5000,4.3,1
19,"realme 9 Pro+ 5G (Sunrise Blue, 128 GB)",920,16.26,8,28,50,26999.00,4500,4.3,1
20,"realme 9 Pro+ 5G (Aurora Green, 128 GB)",920,16.26,6,28,50,24999.00,4500,4.3,1
21,"realme C35 (Glowing Green, 128 GB)",T616,16.76,4,28,50,12999.00,5000,4.4,1
22,"realme C35 (Glowing Black, 128 GB)",T616,16.76,4,28,50,12999.00,5000,4.4,1
23,"realme 9 Pro+ 5G (Aurora Green, 256 GB)",920,16.26,8,56,50,28999.00,4500,4.3,1
